"A0002500","R0000100","R0000700","R0001010","R0001100","R0001200","R0001610","R0001800","R0010300","R0023500","R0029100","R0153800","R0153900","R0154000","R0154100","R0154300","R0154400","R0154500","R0170100","R0171800","R0214700","R0214800","R0217501","R0217502","R0217910","R0306700","R0307000","R0307100","R1021700","R1395100","R1395400","R3279401","R3400800","R3401501","R3403500","R3407700","R3407800","R6430800","R6430900","R6591300","R6592900","R6738700","R6749800","R6839600","R6909701","R7006400","R7006500","R7006600","R7006900","R7007000","R9909700","T3206901","T3308200","T3308700","T3495400","T3506500","T3976400","T3977400","T3977500","T3977600","T3987600","T3987800","T4112200","T4112700","T4113000","T4114600","T4114900"
445,1,1,0,1,4,0,1,7,12,0,2,2,1,1,2,1,4,-4,0,3,2,0,5,0,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-998,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
445,2,2,-4,1,4,-4,1,7,12,0,4,3,2,2,4,3,4,-4,1,3,2,0,5,0,0,-4,0,-4,0,-4,20000,0,12,2,0,-4,0,-4,-4,-4,-4,40,2,0,5,45000,0,2,1,11,-4,8680,4720,7010,-4,-4,19000,-4,-4,0,-4,3,1,12,1,3
445,3,1,0,0,-4,0,1,7,14,0,2,4,3,3,3,3,3,-4,0,3,2,0,5,0,0,-4,0,0,4,13,6000,0,10,9,3,4,2,18,339,19,280,40,3,0,3,64000,0,2,1,8,-4,8990,4320,5230,52,5,35000,-4,-4,55000,-4,2,4,12,1,17
445,4,1,0,0,-4,-3,1,7,12,-4,1,2,3,4,2,4,2,-4,0,3,2,0,5,0,-5,-5,-5,11,5,-2,0,1,14,7,1,10,0,-4,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,0,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
445,5,1,0,0,-4,0,1,7,18,0,2,2,2,1,3,3,2,31,1,3,1,0,4,0,0,-4,0,17,-1,-4,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,48,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
445,6,1,0,0,-4,0,1,7,18,0,1,1,3,1,1,4,1,44,1,3,1,0,4,0,0,-4,0,16,4,16,23000,0,16,10,0,-4,-5,-5,858,19,-4,45,-4,40000,5,82000,0,2,1,23,-4,7870,2710,2200,39,1,105000,-4,-4,52000,-4,5,2,16,1,12
445,7,1,0,0,-4,0,1,7,17,-4,1,2,4,2,2,4,1,1,1,3,1,0,3,0,0,-4,0,16,1,-4,0,0,12,7,1,-3,1,19,318,749,-4,40,-4,25000,3,25400,0,3,3,-999,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
445,8,1,0,1,4,0,1,9,14,0,2,2,3,2,4,2,2,280,0,3,2,1,3,0,0,-4,0,18,1,-4,17000,0,12,8,3,7,0,-4,707,234,-4,-4,3,27400,5,-2,-3,3,3,4,-4,6870,830,2340,33,2,40000,-4,-4,1200,-4,3,1,14,1,13
445,9,1,0,0,-4,0,1,7,13,-4,1,2,4,1,1,3,2,964,0,3,1,0,6,0,1,15,0,17,4,-4,30000,0,14,4,0,-4,0,-4,757,505,-4,16,-4,52000,4,57000,0,2,1,31,-4,8770,10,2320,26,3,75000,-4,-4,65000,-4,3,1,14,1,5
445,10,1,0,0,-4,0,1,7,10,0,2,2,2,1,2,3,3,75,0,3,2,0,3,1,0,-4,0,18,3,-4,4000,-3,9,7,2,2,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
445,11,1,0,0,-4,0,1,7,18,0,1,2,3,2,3,2,2,-4,1,3,1,0,3,0,-5,-5,-5,20,1,17,74283,0,16,10,0,-4,0,-4,698,19,-4,-4,-4,55000,1,55000,0,1,0,-998,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
445,12,1,0,0,-4,0,1,7,17,0,2,2,2,2,2,3,3,1,0,3,2,0,3,0,0,-4,0,16,2,-4,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,78,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
445,13,1,0,1,4,0,1,7,17,0,2,2,2,1,3,2,2,245,0,3,1,0,5,0,1,20,0,17,4,-4,40000,0,16,3,1,0,0,-4,728,19,-4,-4,-4,60000,2,-2,-3,3,2,16,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
445,14,1,0,0,-4,0,1,7,17,-4,1,2,3,1,2,4,2,271,1,3,2,0,5,-3,1,16,0,15,4,-4,24000,0,16,15,0,-4,6,20,849,23,-4,-4,0,48000,1,60000,0,3,2,-998,-4,6990,800,7200,-4,2,102000,-4,-4,-4,-4,1,1,19,1,24
445,15,1,0,0,-4,-3,1,7,18,-4,2,2,3,2,2,3,2,65,1,3,1,0,4,0,0,-4,0,18,0,-4,0,0,16,7,0,-4,0,-4,-4,-4,-4,50,-4,0,4,75000,0,2,1,45,-4,-4,-4,3060,52,2,0,-4,-4,272295,-4,6,1,16,1,9
445,16,1,0,0,-4,0,1,7,13,0,2,2,3,2,3,3,2,280,0,3,2,0,4,0,1,21,0,16,4,-4,36000,0,13,9,1,0,6,21,849,313,91,40,3,38000,5,81200,0,2,1,19,-4,7270,5700,9840,-4,1,70000,-4,-4,-4,-4,4,1,13,1,12
445,17,1,0,0,-4,0,1,9,14,0,2,2,2,2,3,3,1,-4,1,3,1,0,2,0,1,-3,1,17,4,13,32000,-3,13,9,0,-4,6,17,69,13,375,60,-4,48000,2,-2,-3,1,0,-998,-4,9570,6660,5110,-2,-4,60000,-4,-4,-4,-4,1,1,13,1,14
445,18,1,0,0,-4,0,1,9,18,0,2,2,3,2,1,4,2,222,1,3,1,0,1,0,1,16,0,14,5,-4,74283,0,13,4,3,0,4,15,697,19,-4,40,-4,120000,4,120100,0,3,3,29,-4,4170,4760,-4,-4,3,150000,-4,-4,-4,-4,1,4,13,1,4
445,19,1,0,0,-4,0,1,7,12,0,2,2,2,2,4,3,1,-4,0,3,2,1,2,0,0,-4,0,-5,4,13,0,1,12,10,1,2,0,-4,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,106,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
445,20,1,0,0,-4,0,1,7,16,0,2,2,2,2,3,2,3,245,0,3,2,0,5,0,0,-4,0,18,1,-4,34000,0,16,10,1,0,0,-4,77,217,-4,40,1,52000,3,96400,0,2,1,24,-4,7290,300,1360,52,2,115000,-4,-4,75000,-4,3,1,17,1,12
445,21,1,0,0,-4,0,1,7,18,0,2,2,2,3,2,3,3,-4,1,3,2,0,5,0,1,18,0,16,4,-4,30000,0,16,17,0,-4,3,24,727,13,-4,40,0,82000,3,-2,-3,2,1,-998,-4,7390,1810,2840,52,1,343830,-4,-4,110000,-4,2,1,16,1,27
445,22,1,0,1,4,0,1,1,16,-4,1,2,3,3,3,3,2,-4,1,3,2,0,4,0,0,-4,0,16,4,13,15500,0,16,19,0,-4,4,16,897,19,-4,35,0,36000,2,58800,0,2,1,-998,-4,9170,1060,220,34,1,40000,-4,-4,-4,-4,1,1,16,0,29
445,23,1,1,0,-4,0,1,7,16,0,1,2,2,2,2,4,1,-4,1,3,1,0,5,0,0,-4,0,18,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-998,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
445,24,1,0,0,-4,0,1,7,12,0,2,2,3,3,2,3,2,-4,0,3,1,0,5,0,0,-4,0,18,-5,-5,30000,0,12,11,2,0,0,-4,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
445,25,1,1,0,-4,0,1,0,14,0,1,2,4,2,2,3,2,426,0,3,2,0,3,-3,0,-4,0,18,4,-4,25000,0,14,3,0,-4,0,-4,829,445,-4,60,2,20000,4,332808,0,2,1,42,-4,7980,3640,910,52,2,35000,-4,-4,150000,-4,4,1,14,0,3
445,26,1,0,0,-4,0,1,3,16,-4,2,1,3,1,2,3,2,-3,1,3,1,0,4,0,0,-4,0,18,1,-4,0,0,16,7,0,-4,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,89,-4,6070,9030,-4,-4,1,105000,-4,-4,0,-4,5,1,16,1,8
445,27,1,0,0,-4,0,1,1,17,0,1,2,4,2,4,4,2,93,1,3,2,0,4,0,0,-4,0,20,1,-4,0,0,16,8,1,2,0,-4,739,337,-4,60,2,13126,4,146126,0,2,1,44,-4,7390,5120,1020,52,2,16036,-4,-4,191363,-4,3,1,16,1,15
445,28,1,0,0,-4,0,1,9,16,-4,1,1,2,1,1,3,1,194,1,3,2,0,4,0,0,-4,0,16,3,-4,26000,0,12,10,0,-4,5,16,448,327,-4,-4,0,24000,1,24000,0,3,3,-998,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
445,29,2,-4,1,4,0,1,9,14,0,3,3,2,3,3,3,3,301,0,3,2,0,4,0,0,-4,0,18,0,-4,30000,0,12,4,0,-4,0,-4,707,7,-4,77,0,50000,1,74000,0,3,1,-998,-4,8680,4150,4000,52,2,5200,-4,-4,37440,-4,2,1,12,1,6
445,30,2,-4,1,4,0,1,9,16,0,1,3,2,3,2,3,2,245,-2,3,2,0,4,0,0,-4,0,-5,-3,-3,0,0,12,4,2,3,0,-4,-4,-4,-4,50,3,0,5,35000,0,2,1,16,-4,-4,-4,6440,-4,2,0,-4,-4,0,-4,5,-4,12,-4,4
445,31,1,-4,1,1,0,1,7,12,-4,3,4,3,3,4,3,4,142,0,1,1,0,4,1,0,-4,0,18,0,-4,15000,0,12,10,1,1,0,-4,447,523,-4,-4,-4,26000,3,26000,0,3,2,57,-4,6670,5240,4760,52,-4,42000,-4,-4,32000,-4,3,4,12,1,12
445,32,2,-4,1,1,0,1,7,16,0,1,1,3,2,1,3,1,184,0,1,2,0,5,0,-5,-5,-5,18,2,19,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-998,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
445,33,1,-4,1,1,0,1,7,12,-4,1,2,2,2,2,4,4,472,-2,1,1,0,4,0,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-998,-4,9990,7750,-4,-4,2,0,-4,-4,-4,-4,1,1,12,1,3
445,34,1,0,0,-4,0,1,9,13,0,2,2,3,2,2,2,3,245,0,3,1,0,4,0,0,-4,0,16,3,-4,5000,0,13,15,1,1,0,-4,897,19,-4,25,-4,35000,6,83000,0,2,1,15,-4,8770,7200,5700,-4,5,53000,-4,-4,-4,-4,1,1,13,2,23
